[INFO | _internal | line 97] 2025-04-11T19:09:57+0800:  * Detected change in 'c:\\Users\\Neil\\Documents\\artus\\dlsud\\dfa-website\\backend\\app.py', reloading
[INFO | _internal | line 97] 2025-04-11T19:09:57+0800:  * Restarting with stat
[INFO | app | line 51] 2025-04-11T19:09:57+0800: Bets DFA Compiled Successfully.
[INFO | app | line 96] 2025-04-11T19:09:57+0800: Stars DFA compiled successfully.
[WARNING | _internal | line 97] 2025-04-11T19:09:57+0800:  * Debugger is active!
[INFO | _internal | line 97] 2025-04-11T19:09:57+0800:  * Debugger PIN: 896-591-969
[INFO | _internal | line 97] 2025-04-11T19:20:46+0800: 127.0.0.1 - - [11/Apr/2025 19:20:46] "GET / HTTP/1.1" 200 -
[INFO | _internal | line 97] 2025-04-11T19:20:46+0800: 127.0.0.1 - - [11/Apr/2025 19:20:46] "[36mGET /style.css HTTP/1.1[0m" 304 -
[INFO | _internal | line 97] 2025-04-11T19:20:46+0800: 127.0.0.1 - - [11/Apr/2025 19:20:46] "GET /script.js HTTP/1.1" 200 -
[INFO | app | line 124] 2025-04-11T19:20:55+0800: Recieved dfa input type bets_dfa
[INFO | app | line 125] 2025-04-11T19:20:55+0800: Recieved dfa input type aaabaa
[INFO | app | line 136] 2025-04-11T19:20:55+0800: Response data for bets_dfa: {'input': 'aaabaa', 'final state': 12, 'accepted': True, 'state sequence': [0, 2, 3, 5, 9, 11, 12], 'error': None}
[INFO | _internal | line 97] 2025-04-11T19:20:55+0800: 127.0.0.1 - - [11/Apr/2025 19:20:55] "POST /simulate-dfa HTTP/1.1" 200 -
[INFO | app | line 124] 2025-04-11T19:20:57+0800: Recieved dfa input type bets_dfa
[INFO | app | line 125] 2025-04-11T19:20:57+0800: Recieved dfa input type aaabaa
[INFO | app | line 136] 2025-04-11T19:20:57+0800: Response data for bets_dfa: {'input': 'aaabaa', 'final state': 12, 'accepted': True, 'state sequence': [0, 2, 3, 5, 9, 11, 12], 'error': None}
[INFO | _internal | line 97] 2025-04-11T19:20:57+0800: 127.0.0.1 - - [11/Apr/2025 19:20:57] "POST /simulate-dfa HTTP/1.1" 200 -
[INFO | app | line 124] 2025-04-11T19:20:58+0800: Recieved dfa input type bets_dfa
[INFO | app | line 125] 2025-04-11T19:20:58+0800: Recieved dfa input type aaabaa
[INFO | app | line 136] 2025-04-11T19:20:58+0800: Response data for bets_dfa: {'input': 'aaabaa', 'final state': 12, 'accepted': True, 'state sequence': [0, 2, 3, 5, 9, 11, 12], 'error': None}
[INFO | _internal | line 97] 2025-04-11T19:20:58+0800: 127.0.0.1 - - [11/Apr/2025 19:20:58] "POST /simulate-dfa HTTP/1.1" 200 -
[INFO | app | line 124] 2025-04-11T19:20:58+0800: Recieved dfa input type bets_dfa
[INFO | app | line 125] 2025-04-11T19:20:58+0800: Recieved dfa input type aaabaa
[INFO | app | line 136] 2025-04-11T19:20:58+0800: Response data for bets_dfa: {'input': 'aaabaa', 'final state': 12, 'accepted': True, 'state sequence': [0, 2, 3, 5, 9, 11, 12], 'error': None}
[INFO | _internal | line 97] 2025-04-11T19:20:58+0800: 127.0.0.1 - - [11/Apr/2025 19:20:58] "POST /simulate-dfa HTTP/1.1" 200 -
[INFO | app | line 124] 2025-04-11T19:20:59+0800: Recieved dfa input type bets_dfa
[INFO | app | line 125] 2025-04-11T19:20:59+0800: Recieved dfa input type aaabaa
[INFO | app | line 136] 2025-04-11T19:20:59+0800: Response data for bets_dfa: {'input': 'aaabaa', 'final state': 12, 'accepted': True, 'state sequence': [0, 2, 3, 5, 9, 11, 12], 'error': None}
[INFO | _internal | line 97] 2025-04-11T19:20:59+0800: 127.0.0.1 - - [11/Apr/2025 19:20:59] "POST /simulate-dfa HTTP/1.1" 200 -
[INFO | app | line 124] 2025-04-11T19:21:00+0800: Recieved dfa input type bets_dfa
[INFO | app | line 125] 2025-04-11T19:21:00+0800: Recieved dfa input type aaabaa
[INFO | app | line 136] 2025-04-11T19:21:00+0800: Response data for bets_dfa: {'input': 'aaabaa', 'final state': 12, 'accepted': True, 'state sequence': [0, 2, 3, 5, 9, 11, 12], 'error': None}
[INFO | _internal | line 97] 2025-04-11T19:21:00+0800: 127.0.0.1 - - [11/Apr/2025 19:21:00] "POST /simulate-dfa HTTP/1.1" 200 -
